UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P31749	P42345	AKT1	MTOR
P31749	P04049	AKT1	RAF1
P31749	Q6R327	AKT1	RICTR
P24941	P46527	CDK2	CDN1B
P46527	P24941	CDN1B	CDK2
P17676	P18146	CEBPB	EGR1
P18146	P17676	EGR1	CEBPB
Q09472	Q04206	EP300	TF65
Q09472	P40763	EP300	STAT3
P04626	P40189	ERBB2	IL6RB
P04626	Q99650	ERBB2	OSMR
P21860	P40189	ERBB3	IL6RB
P01100	P17275	FOS	JUNB
P01100	P17535	FOS	JUND
P01100	P42224	FOS	STAT1
P01100	P40763	FOS	STAT3
P62993	O60674	GRB2	JAK2
P62993	P29353	GRB2	SHC1
P62993	Q07889	GRB2	SOS1
P01112	P04049	RASH	RAF1
P40189	P04626	IL6RB	ERBB2
P40189	P21860	IL6RB	ERBB3
P40189	P42702	IL6RB	LIFR
P40189	P13725	IL6RB	ONCM
P40189	Q99650	IL6RB	OSMR
P40189	Q06124	IL6RB	PTN11
P40189	P12931	IL6RB	SRC
P40189	P40763	IL6RB	STAT3
P35568	P23458	IRS1	JAK1
P35568	P27986	IRS1	P85A
P23458	P35568	JAK1	IRS1
P23458	O60674	JAK1	JAK2
P23458	P04049	JAK1	RAF1
P23458	O14543	JAK1	SOCS3
O60674	P62993	JAK2	GRB2
O60674	P23458	JAK2	JAK1
O60674	Q07889	JAK2	SOS1
P17275	P01100	JUNB	FOS
P17275	P17535	JUNB	JUND
P17535	P01100	JUND	FOS
P17535	P17275	JUND	JUNB
P42702	P40189	LIFR	IL6RB
P42702	Q06124	LIFR	PTN11
Q06413	P42224	MEF2C	STAT1
P42345	P31749	MTOR	AKT1
P42345	Q6R327	MTOR	RICTR
P13725	P40189	ONCM	IL6RB
P13725	Q99650	ONCM	OSMR
Q99650	P04626	OSMR	ERBB2
Q99650	P40189	OSMR	IL6RB
Q99650	P13725	OSMR	ONCM
Q99650	P29353	OSMR	SHC1
Q9Y6X2	P40763	PIAS3	STAT3
P27986	P35568	P85A	IRS1
Q14289	P49023	FAK2	PAXI
Q06124	P40189	PTN11	IL6RB
Q06124	P42702	PTN11	LIFR
P49023	Q14289	PAXI	FAK2
P04049	P31749	RAF1	AKT1
P04049	P01112	RAF1	RASH
P04049	P23458	RAF1	JAK1
P04049	P29597	RAF1	TYK2
Q04206	P40763	TF65	STAT3
Q6R327	P31749	RICTR	AKT1
Q6R327	P42345	RICTR	MTOR
P29353	P62993	SHC1	GRB2
P29353	Q99650	SHC1	OSMR
O14543	P23458	SOCS3	JAK1
Q07889	P62993	SOS1	GRB2
Q07889	O60674	SOS1	JAK2
P12931	P40189	SRC	IL6RB
P12931	P40763	SRC	STAT3
P42224	P01100	STAT1	FOS
P42224	Q06413	STAT1	MEF2C
P42224	P40763	STAT1	STAT3
P40763	P01100	STAT3	FOS
P40763	P40189	STAT3	IL6RB
P40763	Q9Y6X2	STAT3	PIAS3
P40763	Q04206	STAT3	TF65
P40763	Q04206	STAT3	TF65
P40763	P12931	STAT3	SRC
P40763	P42224	STAT3	STAT1
P29597	P04049	TYK2	RAF1
