UniProtID	Gene_name
Q9Y618	NCOR2
P25490	TYY1
P50553	ASCL1
P06239	LCK
P19838	NFKB1
P48745	CCN3
Q8NES3	LFNG
P49810	PSN2
Q15797	SMAD1
P84022	SMAD3
P40763	STAT3
P78504	JAG1
O00587	MFNG
P62877	RBX1
Q06330	SUH
Q9GZL7	WDR12
P46531	NOTC1
P43355	MAGA1
Q86Y01	DTX1
O75446	SAP30
P63208	SKP1
Q12860	CNTN1
P31749	AKT1
P49841	GSK3B
P49757	NUMB
Q92831	KAT2B
Q9NR61	DLL4
P27361	MK03
Q969H0	FBXW7
Q13547	HDAC1
O60674	JAK2
Q92769	HDAC2
Q06587	RING1
Q96JK9	MAML3
P15923	TFE2
O00548	DLL1
Q96HZ4	HES6
O75376	NCOR1
Q13573	SNW1
Q96T58	MINT
Q13309	SKP2
Q13616	CUL1
P78537	BL1S1
P78536	ADA17
Q9UBP5	HEY2
Q92585	MAML1
O00459	P85B
Q8IZL2	MAML2
Q13642	FHL1
Q96J02	ITCH
Q9H488	OFUT1
P09958	FURIN
P49768	PSN1
Q14469	HES1
Q9NZ42	PEN2
P05067	A4
Q99466	NOTC4
Q9Y6R0	NUMBL
Q09472	EP300
Q96ST3	SIN3A
Q8WW43	APH1B
Q9Y219	JAG2
Q9UJU2	LEF1
Q92542	NICA
P28482	MK01
Q9NYJ7	DLL3
Q04721	NOTC2
Q5TA89	HES5
P48544	KCNJ5
Q06413	MEF2C
Q9UM47	NOTC3
P27986	P85A
Q96BI3	APH1A
O14672	ADA10
