UniProtID	Gene_name
O43524	FOXO3
Q05397	FAK1
Q13555	KCC2G
P36897	TGFR1
Q9GZV5	WWTR1
Q9C0E2	XPO4
P13861	KAP2
Q03135	CAV1
Q9UJX2	CDC23
Q9UPN9	TRI33
O14640	DVL1
P15336	ATF2
P30153	2AAA
P03372	ESR1
P62877	RBX1
P28749	RBL1
Q13952	NFYC
O75928	PIAS2
Q9H160	ING2
P15531	NDKA
O75925	PIAS1
P06493	CDK1
Q15750	TAB1
Q92831	KAT2B
Q9NPB6	PAR6A
Q92905	CSN5
O75807	PR15A
Q96PU5	NED4L
P06400	RB
O75593	FOXH1
O14964	HGS
P28340	DPOD1
P57059	SIK1
P36873	PP1G
Q14186	TFDP1
P12755	SKI
P08047	SP1
Q9H1A4	APC1
Q00534	CDK6
Q15831	STK11
Q06413	MEF2C
Q8N6I1	EID2
P35658	NU214
Q8N6K7	SAMD3
P63279	UBC9
P37275	ZEB1
Q9UM11	FZR1
P41235	HNF4A
O14908	GIPC1
P37173	TGFR2
P98177	FOXO4
P11802	CDK4
P30304	MPIP1
P12757	SKIL
Q9UNH7	SNX6
Q02078	MEF2A
Q92793	CBP
Q15583	TGIF1
P32121	ARRB2
P49354	FNTA
O95067	CCNB2
P17535	JUND
Q13464	ROCK1
P78368	KC1G2
O15169	AXIN1
O15530	PDPK1
Q15329	E2F5
O43318	M3K7
Q13554	KCC2B
Q13950	RUNX2
Q13118	KLF10
Q16254	E2F4
Q13547	HDAC1
Q9UJX6	ANC2
O95219	SNX4
Q9Y2T1	AXIN2
P14921	ETS1
P17813	EGLN
P35813	PPM1A
P29590	PML
Q13485	SMAD4
Q9Y3F4	STRAP
Q14188	TFDP2
Q13616	CUL1
P23511	NFYA
Q8TF09	DLRB2
P24864	CCNE1
P38936	CDN1A
O14576	DC1I1
P49790	NU153
Q9UBS0	KS6B2
P61077	UB2D3
Q96RN5	MED15
P55316	FOXG1
O60315	ZEB2
Q14974	IMB1
Q13347	EIF3I
P01106	MYC
Q9UJU2	LEF1
Q15788	NCOA1
P63010	AP2B1
Q03167	TGBR3
Q8TEW0	PARD3
P35222	CTNB1
P46734	MP2K3
P18847	ATF3
O75582	KS6A5
P48436	SOX9
Q8TAD8	SNIP1
Q13596	SNX1
Q12778	FOXO1
P31321	KAP1
O43541	SMAD6
P46937	YAP1
Q7Z3T8	ZFY16
P25208	NFYB
Q8NG27	PJA1
O15105	SMAD7
P04637	P53
O14980	XPO1
Q16539	MK14
P05106	ITB3
P01137	TGFB1
P63208	SKP1
P05412	JUN
Q01082	SPTB2
Q96RT1	ERBIN
P49023	PAXI
Q13573	SNW1
P63165	SUMO1
P62837	UB2D2
P24385	CCND1
O15350	P73
P23443	KS6B1
O00459	P85B
Q9UJX4	APC5
P10600	TGFB3
Q96J02	ITCH
P24941	CDK2
P61586	RHOA
Q9Y5K5	UCHL5
Q9UER7	DAXX
Q9Y4K3	TRAF6
Q12931	TRAP1
Q99966	CITE1
Q13042	CDC16
Q96JC1	VPS39
P63151	2ABA
P11473	VDR
P30260	CDC27
P15884	ITF2
P42336	PK3CA
P84022	SMAD3
P62942	FKB1A
P52564	MP2K6
O60749	SNX2
Q07889	SOS1
P05556	ITB1
P10275	ANDR
P29353	SHC1
Q13557	KCC2D
Q15118	PDK1
Q01196	RUNX1
P45983	MK08
Q9HAU4	SMUF2
P67775	PP2AA
P16070	CD44
Q8IU81	I2BP1
Q9NPI6	DCP1A
Q9UM13	APC10
Q9UJX3	APC7
Q08999	RBL2
P30154	2AAB
P51668	UB2D1
Q9UJX5	APC4
P37023	ACVL1
P49711	CTCF
P98082	DAB2
Q9NP97	DLRB1
Q8TAK6	OLIG1
O95405	ZFYV9
P38398	BRCA1
P46108	CRK
Q9UQM7	KCC2A
P31269	HXA9
Q09472	EP300
P01100	FOS
P62993	GRB2
P11142	HSP7C
P17275	JUNB
P61812	TGFB2
Q9Y297	FBW1A
Q9HCE7	SMUF1
Q92918	M4K1
P12931	SRC
P27986	P85A
Q8N1F8	S11IP
Q01844	EWS
P53539	FOSB
P09486	SPRC
P34741	SDC2
Q13761	RUNX3
P17844	DDX5
Q96FJ0	STALP
Q15796	SMAD2
Q9H0M0	WWP1
P56945	BCAR1
