UniProtID	Gene_name
Q05397	FAK1
P06239	LCK
Q9UDY8	MALT1
Q14511	CASL
Q13191	CBLB
P15498	VAV
P16885	PLCG2
P15336	ATF2
Q99952	PTN18
Q7L591	DOK3
O95999	BCL10
Q9UN19	DAPP1
Q15139	KPCD1
Q8IV61	GRP3
Q14571	ITPR2
P21854	CD72
P07948	LYN
Q7LFX5	CHSTF
Q9Y6K9	NEMO
P06400	RB
P11912	CD79A
P23634	AT2B4
P22681	CBL
P56279	TCL1A
P42680	TEC
Q04759	KPCT
Q00534	CDK6
P61978	HNRPK
Q12968	NFAC3
Q08209	PP2BA
Q92835	SHIP1
P11802	CDK4
P51451	BLK
P20248	CCNA2
P43403	ZAP70
O15530	PDPK1
P48426	PI42A
P43405	KSYK
Q06124	PTN11
P08631	HCK
P20936	RASA1
Q14289	FAK2
O43318	M3K7
Q07890	SOS2
Q99755	PI51A
P24864	CCNE1
Q9GZY6	NTAL
Q13480	GAB1
P19419	ELK1
P14317	HCLS1
P30281	CCND3
P60033	CD81
P20023	CR2
P49840	GSK3A
P28482	MK01
P56945	BCAR1
P50570	DYN2
Q7Z6A9	BTLA
P78314	3BP2
Q12778	FOXO1
O15111	IKKA
P78347	GTF2I
P40259	CD79B
Q16539	MK14
Q8NDB2	BANK1
P05412	JUN
P55210	CASP7
P31749	AKT1
Q13905	RPGF1
Q96MX0	CKLF3
Q13469	NFAC2
Q99704	DOK1
P15391	CD19
P50613	CDK7
P23443	KS6B1
P25963	IKBA
Q9ULZ2	STAP1
O00459	P85B
Q9BXL7	CAR11
P06127	CD5
P31994	FCG2B
Q13094	LCP2
Q08881	ITK
P24941	CDK2
P16220	CREB1
P10415	BCL2
P10114	RAP2A
P46109	CRKL
P55211	CASP9
O60331	PI51C
P30279	CCND2
P52735	VAV2
Q07889	SOS1
P29353	SHC1
P45983	MK08
P19174	PLCG1
Q9UJU6	DBNL
Q8TBX8	PI42C
Q9H400	LIME1
P05771	KPCB
P49841	GSK3B
P27361	MK03
P41240	CSK
P49137	MAPK2
Q8WV28	BLNK
Q06187	BTK
Q9UQC2	GAB2
O14920	IKKB
O14492	SH2B2
P41182	BCL6
P06241	FYN
P16333	NCK1
O14986	PI51B
P29350	PTN6
P62070	RRAS2
P31152	MK04
P13164	IFM1
P78356	PI42B
P46108	CRK
Q6ZUJ8	BCAP
P01100	FOS
P20273	CD22
Q9H6Q3	SLAP2
O43521	B2L11
P62993	GRB2
P17275	JUNB
Q15418	KS6A1
P15056	BRAF
Q92918	M4K1
P08575	PTPRC
P27986	P85A
P53539	FOSB
Q14643	ITPR1
O00329	PK3CD
P62753	RS6
P01871	IGHM
