UniProtID	Gene_name
P04626	ERBB2
P55268	LAMB2
Q13541	4EBP1
P42336	PK3CA
Q9UMD9	COHA1
P29323	EPHB2
Q05397	FAK1
Q04917	1433F
P42574	CASP3
P16144	ITB4
P10275	ANDR
P07942	LAMB1
P29353	SHC1
O95631	NET1
Q9BST9	RTKN
Q32MK0	MYLK3
P31947	1433S
P31946	1433B
P25391	LAMA1
P15924	DESP
O15230	LAMA5
P08865	RSSA
Q06124	PTN11
P31749	AKT1
P62258	1433E
Q96RT1	ERBIN
P23229	ITA6
Q13751	LAMB3
Q05655	KPCD
P24043	LAMA2
P27348	1433T
P00519	ABL1
Q9Y4H2	IRS2
Q04912	RON
P06241	FYN
Q13753	LAMC2
Q13153	PAK1
P42338	PK3CB
Q03001	DYST
P48509	CD151
P63000	RAC1
O15350	P73
Q92934	BAD
O00459	P85B
P48736	PK3CG
P42345	MTOR
P56537	IF6
P61586	RHOA
P06730	IF4E
P62993	GRB2
Q9UQC9	CLCA2
P63104	1433Z
P17252	KPCA
P12931	SRC
P35568	IRS1
P11047	LAMC1
Q16787	LAMA3
P08581	MET
P27986	P85A
Q92569	P55G
P00533	EGFR
Q15149	PLEC
P08670	VIME
A8K7I4	CLCA1
P07947	YES
O00329	PK3CD
