UniProtID	Gene_name
Q9Y618	NCOR2
Q05397	FAK1
Q99497	PARK7
P60484	PTEN
Q99933	BAG1
P40763	STAT3
Q03135	CAV1
P06396	GELS
P15336	ATF2
P03372	ESR1
O75928	PIAS2
P82094	TMF1
O75925	PIAS1
P29466	CASP1
P06493	CDK1
P19447	ERCC3
P51946	CCNH
P55317	FOXA1
Q06830	PRDX1
Q92831	KAT2B
Q9Y252	RNF6
Q15637	SF01
Q9Y675	SNURF
Q92759	TF2H4
P11021	BIP
O43294	TGFI1
Q13772	NCOA4
P06400	RB
P04792	HSPB1
Q9Y4B4	ARIP4
Q6AZZ1	TRI68
Q14790	CASP8
P08047	SP1
Q8NF64	ZMIZ2
Q13889	TF2H3
P35869	AHR
P63244	RACK1
Q16543	CDC37
Q13888	TF2H2
P04150	GCR
Q9UM63	PLAL1
P63279	UBC9
Q9Y6X2	PIAS3
P78317	RNF4
P48552	NRIP1
Q96EB6	SIR1
P18074	ERCC2
Q05066	SRY
P10606	COX5B
Q8IXH7	NELFD
Q9UBS8	RNF14
P30304	MPIP1
P42574	CASP3
Q92793	CBP
P20711	DDC
P22301	IL10
P12956	XRCC6
P21333	FLNA
Q8IZL8	PELP1
P04406	G3P
P40189	IL6RB
Q13950	RUNX2
Q13547	HDAC1
Q15596	NCOA2
Q5THR3	EFCB6
Q15233	NONO
Q99873	ANM1
P60763	RAC3
Q9H3R0	KDM4C
Q12796	PNRC1
O96028	NSD2
P24864	CCNE1
O60341	KDM1A
P62136	PP1A
Q9H422	HIPK3
P09874	PARP1
P30281	CCND3
P13056	NR2C1
P62826	RAN
Q96ST3	SIN3A
Q15788	NCOA1
P21127	CD11B
P49715	CEBPA
Q969G3	SMCE1
O95251	KAT7
P35222	CTNB1
P13010	XRCC5
P00533	EGFR
P14859	PO2F1
Q92922	SMRC1
Q12778	FOXO1
O43293	DAPK3
Q00535	CDK5
Q9UQ80	PA2G4
Q15181	IPYR
Q9UBK9	UXT
P07900	HS90A
P05412	JUN
P34932	HSP74
Q14686	NCOA6
Q96PM5	ZN363
P55210	CASP7
P31749	AKT1
O60477	BRNP1
P27797	CALR
Q08117	TLE5
P13984	T2FB
Q8N2W9	PIAS4
P49023	PAXI
P11182	ODB2
O75376	NCOR1
P50613	CDK7
P24385	CCND1
Q15466	NR0B2
P41161	ETV5
P11387	TOP1
O00459	P85B
Q9P0U3	SENP1
Q02790	FKBP4
Q9UER7	DAXX
Q9Y4C1	KDM3A
Q14192	FHL2
P51948	MAT1
O60711	LPXN
P27540	ARNT
P16220	CREB1
Q8WUI4	HDAC7
Q9HBE1	PATZ1
P55345	ANM2
Q96S59	RANB9
P12235	ADT1
O95425	SVIL
P15884	ITF2
P84022	SMAD3
P35269	T2FA
P43364	MAGAB
P10275	ANDR
Q96L73	NSD1
P49116	NR2C2
Q92993	KAT5
Q01196	RUNX1
Q9UNE7	CHIP
Q00987	MDM2
P32780	TF2H1
P30305	MPIP2
Q05086	UBE3A
P49841	GSK3B
P50750	CDK9
Q9NQU5	PAK6
P14625	ENPL
O95238	SPDEF
P38398	BRCA1
Q09472	EP300
Q9NYW8	RBAK
Q9P2W1	HOP2
P11142	HSP7C
P12931	SRC
P27986	P85A
Q9Y6Q9	NCOA3
P17844	DDX5
Q9UKG1	DP13A
Q9ULJ6	ZMIZ1
O43504	LTOR5
