UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P05023	P16473	AT1A1	TSHR
P35613	P53985	BASI	MOT1
P27797	P16473	CALR	TSHR
P27824	P16473	CALX	TSHR
P30281	P11802	CCND3	CDK4
P30281	P46527	CCND3	CDN1B
P30281	P06400	CCND3	RB
P24864	P24941	CCNE1	CDK2
P24941	P24864	CDK2	CCNE1
P24941	P46527	CDK2	CDN1B
P11802	P30281	CDK4	CCND3
P11802	P46527	CDK4	CDN1B
P11802	P06400	CDK4	RB
P46527	P30281	CDN1B	CCND3
P46527	P24941	CDN1B	CDK2
P46527	P11802	CDN1B	CDK4
P46527	P11142	CDN1B	HSP7C
P01215	P01222	GLHA	TSHB
P01215	P16473	GLHA	TSHR
P29992	P16473	GNA11	TSHR
Q03113	P16473	GNA12	TSHR
Q14344	P16473	GNA13	TSHR
P63096	P16473	GNAI1	TSHR
P04899	P16473	GNAI2	TSHR
P08754	P16473	GNAI3	TSHR
P09471	P16473	GNAO	TSHR
P50148	P16473	GNAQ	TSHR
O95467	P16473	GNAS3	TSHR
P01112	P42336	RASH	PK3CA
P01112	P27986	RASH	P85A
P01112	O00459	RASH	P85B
P01112	P04049	RASH	RAF1
P01112	Q12967	RASH	GNDS
P11021	P16473	BIP	TSHR
P11142	P46527	HSP7C	CDN1B
P08069	P16473	IGF1R	TSHR
Q9Y4H2	P29353	IRS2	SHC1
P23458	O15524	JAK1	SOCS1
P23458	O14543	JAK1	SOCS3
P23458	P16473	JAK1	TSHR
O60674	P16473	JAK2	TSHR
Q9Y2W7	P16473	CSEN	TSHR
Q16539	P15336	MK14	ATF2
P25963	P17612	IKBA	KAPCA
Q15653	P17612	IKBB	KAPCA
P42336	P01112	PK3CA	RASH
P42336	P27986	PK3CA	P85A
P42336	O00459	PK3CA	P85B
P27986	P01112	P85A	RASH
P27986	P42336	P85A	PK3CA
P27986	O00459	P85A	P85B
P27986	P16473	P85A	TSHR
O00459	P01112	P85B	RASH
O00459	P42336	P85B	PK3CA
O00459	P27986	P85B	P85A
P17612	P25963	KAPCA	IKBA
P17612	Q15653	KAPCA	IKBB
P04049	P01112	RAF1	RASH
Q12967	P01112	GNDS	RASH
P23443	P62753	KS6B1	RS6
Q14160	P16473	SCRIB	TSHR
P29353	Q9Y4H2	SHC1	IRS2
P53985	P35613	MOT1	BASI
O15524	P23458	SOCS1	JAK1
O14543	P23458	SOCS3	JAK1
P40763	P16473	STAT3	TSHR
P01222	P01215	TSHB	GLHA
P01222	P16473	TSHB	TSHR
P16473	P05023	TSHR	AT1A1
P16473	P27797	TSHR	CALR
P16473	P27824	TSHR	CALX
P16473	P01215	TSHR	GLHA
P16473	P29992	TSHR	GNA11
P16473	Q03113	TSHR	GNA12
P16473	Q14344	TSHR	GNA13
P16473	P63096	TSHR	GNAI1
P16473	P04899	TSHR	GNAI2
P16473	P08754	TSHR	GNAI3
P16473	P09471	TSHR	GNAO
P16473	P50148	TSHR	GNAQ
P16473	O95467	TSHR	GNAS3
P16473	P11021	TSHR	BIP
P16473	P08069	TSHR	IGF1R
P16473	P23458	TSHR	JAK1
P16473	O60674	TSHR	JAK2
P16473	Q9Y2W7	TSHR	CSEN
P16473	P27986	TSHR	P85A
P16473	Q14160	TSHR	SCRIB
P16473	P40763	TSHR	STAT3
P16473	P01222	TSHR	TSHB
