UniProtID	Gene_name
O14788	TNF11
Q13077	TRAF1
P52564	MP2K6
O00463	TRAF5
Q13191	CBLB
Q9UKJ1	PILRA
O75015	FCG3B
P24071	FCAR
P16885	PLCG2
Q02750	MP2K1
P15336	ATF2
O75030	MITF
Q01196	RUNX1
P45983	MK08
Q16539	MK14
P36543	VATE1
P08637	FCG3A
P45984	MK09
P07900	HS90A
Q13114	TRAF3
P05412	JUN
P43405	KSYK
Q15750	TAB1
O43318	M3K7
P07948	LYN
P11021	BIP
P17947	SPI1
O00241	SIRB1
Q9Y6K9	NEMO
Q13501	SQSTM
O43914	TYOBP
Q9UQC2	GAB2
O14920	IKKB
Q9Y6Q6	TNR11
P00519	ABL1
P41279	M3K8
P22681	CBL
P29350	PTN6
O95644	NFAC1
P25963	IKBA
O14733	MP2K7
O00459	P85B
Q9UKW4	VAV3
Q8IYS5	OSCAR
Q12933	TRAF2
Q9Y4K3	TRAF6
Q14192	FHL2
O00487	PSDE
O00300	TR11B
P11142	HSP7C
Q9NYJ8	TAB2
P12931	SRC
P27986	P85A
Q9NQC7	CYLD
P07384	CAN1
P51532	SMCA4
Q9NZC2	TREM2
