UniProtID	Gene_name
P04049	RAF1
P04626	ERBB2
Q13541	4EBP1
P42336	PK3CA
P49069	CAMLG
P52735	VAV2
Q07889	SOS1
O14508	SOCS2
P15498	VAV
Q92793	CBP
P05556	ITB1
Q02750	MP2K1
Q9NRF2	SH2B1
P29353	SHC1
P10828	THB
Q14527	HLTF
P43403	ZAP70
P67775	PP2AA
P62937	PPIA
P21333	FLNA
Q06124	PTN11
Q9NSE2	CISH
O14512	SOCS7
Q9HC77	CENPJ
Q13469	NFAC2
O60674	JAK2
P07339	CATD
P05121	PAI1
P05204	HMGN2
P49023	PAXI
Q9UQC2	GAB2
Q9Y4H2	IRS2
P22681	CBL
P06241	FYN
P10242	MYB
P16333	NCK1
Q13153	PAK1
P42338	PK3CB
P01236	PRL
P29350	PTN6
P23443	KS6B1
O14543	SOCS3
P51956	NEK3
Q15303	ERBB4
P48736	PK3CG
O00459	P85B
P00749	UROK
O15524	SOCS1
Q9UKB1	FBW1B
P42680	TEC
Q09472	EP300
P16471	PRLR
P62993	GRB2
P17706	PTN2
P18031	PTN1
P63104	1433Z
Q9Y297	FBW1A
P12931	SRC
P35568	IRS1
P23284	PPIB
P27986	P85A
P61981	1433G
P51692	STA5B
Q99490	AGAP2
P50570	DYN2
Q9Y6X2	PIAS3
P78324	SHPS1
P42229	STA5A
