UniProtID	Gene_name
P04049	RAF1
P04626	ERBB2
P46527	CDN1B
P01112	RASH
P13725	ONCM
Q07889	SOS1
P40763	STAT3
P29353	SHC1
P17535	JUND
P42224	STAT1
P17676	CEBPB
Q06124	PTN11
P31749	AKT1
Q14289	FAK2
P40189	IL6RB
O60674	JAK2
P21860	ERBB3
Q99650	OSMR
P42702	LIFR
P49023	PAXI
O14543	SOCS3
Q6R327	RICTR
P23458	JAK1
P42345	MTOR
Q04206	TF65
P18146	EGR1
P24941	CDK2
Q09472	EP300
P01100	FOS
P62993	GRB2
P17275	JUNB
P12931	SRC
P35568	IRS1
Q06413	MEF2C
P27986	P85A
P29597	TYK2
Q9Y6X2	PIAS3
